N,P,K,temperature,humidity,ph,rainfall,season,soil_type,crop
114.8,75.1,82.8,26.9,63.4,6.61,66.6,Kharif,Sandy,tomato
68.1,32.7,49.0,23.3,50.1,6.19,26.5,Rabi,Sandy,grapes
81.9,42.0,43.2,30.1,47.9,5.82,56.9,Kharif,Sandy,sorghum
110.5,44.2,81.2,25.9,55.2,5.68,53.0,Zaid,Loamy,pomegranate
38.5,36.6,23.3,25.1,72.0,6.48,91.8,Kharif,Sandy,finger_millet
91.8,34.4,48.8,29.1,90.9,7.18,128.4,Kharif,Clayey,jute
31.5,66.8,56.3,32.1,70.3,6.68,79.4,Kharif,Clayey,soybean
96.6,64.0,73.5,26.8,62.7,5.9,114.9,Zaid,Loamy,guava
102.9,35.1,60.3,24.7,84.6,5.49,174.1,Kharif,Loamy,rubber
192.1,57.5,200.6,26.2,83.3,6.41,282.0,Kharif,Loamy,banana
23.6,55.1,25.9,31.3,53.2,6.61,50.3,Kharif,Loamy,mungbean
177.5,197.3,167.0,29.1,61.5,7.3,107.3,Zaid,Loamy,papaya
101.1,52.2,84.4,36.2,47.3,7.0,56.8,Zaid,Loamy,pomegranate
120.0,76.3,138.4,30.0,72.0,6.74,150.5,Kharif,Loamy,turmeric
85.1,36.8,78.0,25.1,73.5,6.79,118.1,Zaid,Loamy,orange
26.8,57.9,50.9,29.2,67.1,6.53,93.2,Kharif,Loamy,soybean
17.6,50.1,45.0,19.9,45.1,6.57,62.5,Rabi,Sandy,chickpea
193.9,191.6,226.7,22.1,66.2,7.23,57.8,Zaid,Loamy,papaya
83.7,54.9,41.2,30.7,66.7,6.25,58.6,Kharif,Loamy,maize
87.6,49.3,45.2,19.5,78.7,6.7,155.8,Rabi,Loamy,wheat
85.8,42.4,48.1,16.4,64.6,6.29,103.1,Kharif,Sandy,maize
116.9,40.7,42.4,25.7,77.8,4.44,327.5,Kharif,Loamy,tea
18.0,50.2,61.8,18.6,78.0,6.37,77.0,Rabi,Loamy,peas
18.6,56.3,57.7,33.0,74.7,6.61,107.6,Kharif,Clayey,soybean
34.3,31.3,18.2,33.6,51.7,6.47,49.8,Kharif,Loamy,sesame
105.7,77.0,71.1,24.5,78.3,6.14,126.3,Zaid,Loamy,mango
79.8,36.7,63.0,33.1,57.1,7.18,53.4,Zaid,Sandy,watermelon
49.8,37.9,54.7,20.1,51.2,6.65,50.4,Rabi,Loamy,garlic
11.7,41.1,49.4,27.2,65.5,5.72,158.6,Kharif,Loamy,pigeonpeas
83.8,29.8,56.4,17.3,80.9,7.16,266.2,Kharif,Clayey,rice
82.2,33.0,79.3,26.7,65.2,6.59,153.5,Zaid,Sandy,orange
23.3,67.8,39.5,25.5,66.9,6.64,95.3,Kharif,Loamy,soybean
80.8,51.8,106.0,25.9,62.5,5.39,82.5,Rabi,Sandy,tobacco
80.0,77.6,126.5,13.2,78.6,5.76,54.5,Rabi,Loamy,potato
15.9,39.3,45.6,28.2,69.0,5.72,191.1,Kharif,Sandy,pigeonpeas
88.7,61.4,81.3,28.5,56.0,6.83,122.9,Zaid,Loamy,mango
83.8,56.8,89.1,16.3,45.3,5.6,73.1,Rabi,Loamy,onion
11.8,40.3,54.7,27.7,64.3,6.39,162.0,Kharif,Sandy,pigeonpeas
113.2,43.0,70.4,19.3,89.2,6.28,210.9,Kharif,Loamy,coffee
105.8,53.9,46.0,27.7,71.5,6.57,54.7,Kharif,Sandy,maize
101.0,35.4,68.3,32.5,27.3,7.2,74.7,Zaid,Loamy,pomegranate
85.6,40.9,44.7,33.9,60.8,6.44,44.8,Zaid,Sandy,watermelon
39.1,29.8,22.2,22.5,57.0,6.39,37.7,Rabi,Clayey,linseed
48.8,35.9,33.1,14.0,59.6,6.72,77.4,Rabi,Sandy,barley
83.3,40.0,69.3,22.6,70.6,6.13,176.0,Zaid,Sandy,orange
129.2,38.7,50.2,21.2,87.2,5.93,227.7,Kharif,Loamy,tea
130.6,65.4,188.6,28.0,86.2,6.17,186.4,Kharif,Loamy,banana
28.2,45.8,46.4,17.6,72.0,6.22,45.7,Rabi,Sandy,peas
84.9,64.7,79.5,30.5,57.7,6.04,125.5,Zaid,Loamy,guava
77.6,51.2,33.8,33.3,56.2,7.58,84.8,Kharif,Sandy,cotton
19.3,61.6,41.1,22.3,29.2,6.37,68.6,Rabi,Loamy,chickpea
23.5,49.9,24.1,30.4,51.0,6.75,39.0,Kharif,Sandy,mungbean
23.3,57.1,107.2,31.6,58.4,6.53,82.9,Kharif,Loamy,groundnut
20.3,66.9,45.6,24.8,53.3,7.15,33.8,Rabi,Sandy,chickpea
13.0,79.6,44.3,26.7,77.6,6.73,71.0,Kharif,Clayey,soybean
96.4,67.4,103.7,23.2,85.2,6.1,121.4,Kharif,Loamy,coffee
87.7,46.6,37.0,29.3,56.9,7.36,47.0,Kharif,Sandy,cotton
32.1,33.8,38.5,17.3,67.4,7.06,82.9,Rabi,Loamy,peas
92.8,66.9,116.3,26.5,77.4,6.62,131.4,Kharif,Loamy,turmeric
16.7,20.8,23.2,21.6,55.2,6.55,46.7,Rabi,Loamy,lentil
111.6,40.3,32.4,33.6,52.3,7.12,90.7,Kharif,Clayey,cotton
64.8,32.3,83.8,25.5,63.9,6.38,111.3,Zaid,Loamy,orange
53.6,23.0,33.7,33.7,33.7,6.72,52.7,Kharif,Sandy,pearl_millet
124.7,54.9,105.9,26.0,73.2,6.13,154.4,Kharif,Loamy,sugarcane
188.8,72.7,227.2,26.2,80.5,6.48,145.4,Kharif,Loamy,banana
54.7,27.4,24.1,28.9,45.9,6.17,32.9,Kharif,Loamy,sesame
51.2,34.8,24.6,30.9,69.4,4.85,139.9,Kharif,Loamy,finger_millet
84.0,72.0,77.6,31.5,52.8,5.84,57.7,Zaid,Sandy,mango
81.1,50.1,94.3,32.4,62.1,6.27,66.8,Rabi,Loamy,tobacco
56.9,36.1,64.7,21.4,58.9,6.59,121.8,Zaid,Sandy,orange
149.1,96.7,114.1,18.0,72.6,6.5,70.9,Rabi,Loamy,potato
87.0,43.7,53.5,29.2,55.1,7.25,84.5,Kharif,Clayey,cotton
90.0,68.7,112.0,29.9,91.0,5.75,228.9,Kharif,Loamy,pepper
98.0,56.2,68.4,30.9,60.7,6.0,66.2,Kharif,Sandy,sunflower
32.6,84.1,54.5,27.0,66.8,6.19,91.3,Kharif,Clayey,soybean
76.1,58.6,106.4,27.3,81.9,5.11,294.6,Kharif,Loamy,pepper
104.7,59.2,76.2,25.3,55.7,6.63,64.3,Kharif,Loamy,sunflower
14.3,57.2,13.1,27.8,59.6,7.61,59.8,Kharif,Sandy,mothbeans
61.0,53.0,53.0,14.8,85.1,6.21,226.7,Rabi,Sandy,wheat
21.2,51.1,23.5,27.1,45.7,6.27,55.5,Kharif,Sandy,mungbean
106.2,73.9,110.1,15.3,74.9,5.69,85.7,Rabi,Loamy,potato
123.7,59.5,108.6,29.5,72.6,6.41,195.7,Kharif,Clayey,sugarcane
61.2,18.9,37.9,23.9,70.8,6.38,71.7,Kharif,Sandy,sorghum
19.2,48.2,24.2,30.3,64.7,6.88,55.8,Kharif,Loamy,blackgram
44.1,17.4,33.7,23.6,74.9,5.9,23.8,Rabi,Clayey,linseed
91.9,62.6,94.9,26.0,80.6,5.23,266.9,Kharif,Loamy,pepper
22.3,39.9,21.5,30.9,70.7,7.33,64.1,Kharif,Loamy,blackgram
81.3,34.6,43.3,20.6,73.5,6.36,203.6,Rabi,Loamy,wheat
55.0,41.5,41.2,19.5,55.0,7.37,45.1,Rabi,Loamy,mustard
106.9,84.3,119.3,20.4,76.8,6.9,73.2,Rabi,Loamy,potato
200.0,200.0,197.0,29.6,58.0,6.5,111.9,Zaid,Sandy,papaya
99.6,45.5,38.7,26.1,84.5,7.18,286.0,Kharif,Loamy,rice
70.3,29.3,27.5,35.2,61.9,7.7,22.8,Kharif,Sandy,pearl_millet
72.8,52.8,126.8,29.0,73.6,5.03,219.4,Kharif,Loamy,ginger
53.7,26.0,59.5,23.8,55.4,6.78,49.3,Rabi,Sandy,grapes
62.0,28.4,18.1,33.3,45.6,6.93,26.2,Kharif,Sandy,pearl_millet
87.9,39.2,24.4,30.3,65.1,7.13,61.5,Kharif,Sandy,cotton
68.8,39.6,60.7,14.4,67.7,6.41,102.8,Rabi,Loamy,apple
81.1,42.2,38.7,28.2,64.9,6.94,78.4,Kharif,Sandy,cotton
26.2,66.2,59.0,35.4,74.7,6.43,102.0,Kharif,Loamy,soybean
88.1,68.3,53.0,34.0,54.2,6.72,64.9,Kharif,Sandy,sunflower
102.2,56.4,60.6,26.2,84.5,5.21,288.9,Kharif,Loamy,rubber
43.6,23.8,66.9,27.5,59.4,6.05,56.2,Rabi,Sandy,grapes
78.3,47.5,84.9,23.4,53.3,6.54,145.8,Zaid,Sandy,orange
20.8,51.9,73.3,31.1,62.0,6.92,86.8,Kharif,Sandy,groundnut
107.6,76.7,84.0,19.4,69.1,5.82,85.9,Kharif,Sandy,tomato
27.1,51.8,70.8,23.0,60.3,6.26,80.8,Kharif,Sandy,groundnut
10.8,67.4,75.7,31.6,73.5,6.44,80.4,Kharif,Loamy,groundnut
105.0,67.1,137.9,17.5,76.6,6.54,95.6,Rabi,Loamy,potato
69.1,60.1,34.8,25.7,68.8,5.5,82.8,Kharif,Sandy,maize
22.3,65.7,51.6,28.0,72.3,6.66,64.7,Kharif,Sandy,cowpea
13.6,55.4,34.7,20.5,53.8,8.36,55.0,Rabi,Loamy,chickpea
11.0,20.0,18.4,23.9,52.3,6.2,39.1,Rabi,Sandy,lentil
62.3,31.9,77.1,22.1,87.6,5.48,361.1,Kharif,Loamy,cardamom
113.1,59.1,156.6,29.0,79.7,5.92,154.8,Kharif,Loamy,sugarcane
103.1,60.8,161.9,32.0,78.1,6.8,210.0,Kharif,Clayey,sugarcane
59.9,38.6,45.3,29.5,47.8,6.34,68.9,Kharif,Loamy,castor
60.2,31.1,66.1,25.8,43.8,7.0,69.4,Rabi,Sandy,grapes
104.3,27.2,52.5,28.8,68.5,7.38,107.5,Kharif,Clayey,cotton
101.8,35.3,55.8,24.5,83.9,4.95,250.2,Kharif,Loamy,rubber
43.0,29.6,25.0,28.4,60.8,6.46,116.8,Kharif,Sandy,finger_millet
67.8,40.0,47.6,30.6,57.0,7.4,94.0,Kharif,Clayey,sorghum
72.9,32.0,33.2,26.8,81.7,7.47,135.9,Kharif,Loamy,jute
200.0,200.0,230.3,25.7,61.0,6.26,55.3,Zaid,Loamy,papaya
97.0,61.4,156.0,23.6,69.8,6.34,187.5,Kharif,Clayey,sugarcane
73.2,37.1,44.7,28.4,75.5,5.71,55.1,Kharif,Loamy,sorghum
160.7,53.6,172.2,31.0,92.5,6.82,231.2,Kharif,Loamy,banana
54.4,33.9,66.3,25.3,52.4,6.11,82.5,Rabi,Sandy,grapes
21.5,64.1,20.1,29.4,47.5,7.52,63.2,Kharif,Sandy,mothbeans
70.8,17.7,51.8,21.8,86.4,6.79,258.4,Kharif,Clayey,rice
62.9,37.1,47.4,10.7,59.8,6.68,45.2,Rabi,Loamy,mustard
103.7,37.1,32.5,28.0,75.9,7.26,216.5,Kharif,Loamy,rice
104.8,42.8,214.6,28.2,84.1,5.96,248.6,Kharif,Sandy,coconut
78.9,42.6,108.3,31.0,62.1,6.35,57.4,Rabi,Loamy,tobacco
94.3,29.1,63.4,31.0,87.2,5.46,266.6,Kharif,Loamy,rubber
57.6,25.0,51.2,17.2,73.3,5.87,31.3,Rabi,Loamy,garlic
11.8,87.5,69.0,19.9,70.7,6.16,89.6,Kharif,Loamy,kidneybeans
17.9,56.3,29.2,30.0,53.0,6.8,24.2,Kharif,Sandy,mothbeans
166.5,48.2,197.9,25.5,81.3,6.41,164.2,Kharif,Loamy,banana
87.3,40.0,37.2,28.0,72.5,6.7,149.2,Kharif,Clayey,jute
20.7,67.0,44.9,31.9,68.2,6.66,80.3,Kharif,Sandy,cowpea
118.1,49.1,144.2,25.0,86.4,5.99,173.7,Kharif,Loamy,ginger
59.0,36.9,54.6,27.0,89.0,5.48,226.6,Kharif,Clayey,rice
106.8,60.1,141.4,26.2,69.4,6.03,213.0,Kharif,Sandy,turmeric
25.6,69.7,34.3,19.6,62.7,7.88,50.8,Rabi,Loamy,chickpea
29.0,64.0,76.1,27.4,45.4,6.31,51.2,Kharif,Sandy,groundnut
15.1,66.4,56.7,28.1,56.5,6.65,84.8,Kharif,Loamy,soybean
21.4,60.9,37.3,25.4,57.9,6.43,110.5,Kharif,Loamy,soybean
57.2,45.6,69.3,16.6,57.3,5.75,94.1,Rabi,Loamy,apple
67.3,29.9,39.4,22.1,64.8,6.75,59.8,Rabi,Sandy,mustard
182.1,58.9,199.6,25.3,80.3,6.84,216.9,Kharif,Loamy,banana
17.6,51.1,19.1,25.3,41.5,7.39,35.8,Kharif,Sandy,mothbeans
81.3,44.2,33.9,26.1,86.6,6.7,41.5,Kharif,Sandy,maize
104.9,39.2,39.5,28.9,65.1,7.4,89.2,Kharif,Loamy,cotton
23.6,51.6,61.1,31.0,51.7,7.26,93.4,Kharif,Loamy,groundnut
85.6,52.5,51.0,26.0,68.6,6.71,75.4,Kharif,Sandy,sunflower
31.7,58.3,61.5,30.7,66.5,6.42,74.6,Kharif,Loamy,groundnut
86.0,40.6,38.8,27.5,80.6,7.37,97.5,Kharif,Loamy,jute
53.3,28.5,34.8,11.4,53.8,7.03,29.1,Rabi,Loamy,linseed
118.7,57.3,58.4,25.5,53.2,6.18,47.3,Kharif,Loamy,sunflower
99.5,79.0,75.6,19.5,66.1,5.82,54.6,Kharif,Loamy,tomato
113.2,57.2,119.5,28.9,78.8,6.3,114.8,Kharif,Loamy,turmeric
79.6,50.4,40.0,27.7,55.4,7.3,105.5,Kharif,Loamy,cotton
11.3,19.0,26.5,23.4,62.0,5.83,49.1,Rabi,Loamy,lentil
45.1,40.0,35.5,13.0,51.8,6.62,48.3,Rabi,Loamy,linseed
14.2,55.4,45.5,28.8,60.5,5.91,146.8,Kharif,Sandy,pigeonpeas
32.0,29.9,62.7,26.6,44.9,6.17,63.3,Rabi,Sandy,grapes
69.5,33.2,38.4,11.0,60.0,6.02,71.8,Rabi,Sandy,barley
105.7,36.8,52.9,34.2,80.3,6.32,47.5,Zaid,Sandy,watermelon
45.6,28.0,62.0,23.7,46.0,6.41,55.2,Rabi,Sandy,grapes
123.4,44.4,58.8,31.7,56.1,6.48,76.5,Zaid,Loamy,pomegranate
16.2,57.5,28.6,27.5,52.7,7.07,44.3,Kharif,Sandy,mothbeans
109.1,62.3,53.7,28.2,59.1,6.4,67.5,Kharif,Sandy,sunflower
86.3,50.0,75.6,25.5,61.6,6.72,50.3,Rabi,Loamy,onion
200.0,200.0,176.1,25.7,70.6,6.8,96.0,Zaid,Loamy,papaya
108.9,103.1,84.5,21.1,80.2,6.11,52.4,Kharif,Sandy,tomato
72.2,56.0,31.4,28.4,78.3,5.49,139.5,Kharif,Loamy,maize
52.5,26.2,60.9,14.4,54.4,5.88,32.4,Rabi,Loamy,garlic
28.9,59.4,13.1,33.2,49.4,7.36,72.2,Kharif,Sandy,mothbeans
83.6,47.6,51.9,27.8,95.1,6.21,132.7,Kharif,Loamy,jute
33.1,55.0,24.2,29.6,51.7,7.21,44.8,Kharif,Sandy,mothbeans
175.9,62.0,180.3,22.7,77.8,6.86,260.4,Kharif,Loamy,banana
55.8,24.4,79.9,20.6,84.1,5.91,321.3,Kharif,Loamy,cardamom
109.5,74.8,86.0,25.3,74.4,6.75,72.0,Kharif,Loamy,tomato
20.0,58.0,24.3,28.3,50.6,6.38,58.9,Kharif,Loamy,mungbean
22.9,50.6,37.6,28.0,76.0,7.56,106.3,Kharif,Loamy,cowpea
65.8,35.4,29.7,28.2,38.2,6.03,42.0,Kharif,Sandy,castor
87.8,56.7,88.5,31.8,60.2,5.78,60.5,Rabi,Sandy,onion
80.9,58.2,42.8,27.9,61.3,6.73,64.4,Kharif,Sandy,sunflower
96.6,33.6,53.9,28.3,58.6,7.52,92.5,Kharif,Loamy,cotton
63.8,32.8,61.1,24.7,43.0,6.9,45.9,Rabi,Sandy,grapes
19.0,48.9,72.0,26.2,77.4,6.6,95.3,Kharif,Sandy,groundnut
19.8,49.4,39.1,35.1,70.6,7.03,82.1,Kharif,Loamy,cowpea
26.3,74.5,46.8,32.3,66.8,6.52,110.4,Kharif,Clayey,soybean
34.5,32.4,29.9,23.8,58.8,6.38,28.1,Rabi,Loamy,linseed
58.5,37.6,78.3,25.0,86.3,5.94,399.2,Kharif,Loamy,cardamom
12.2,14.2,18.8,18.2,52.8,6.11,34.8,Rabi,Sandy,lentil
93.2,60.7,47.1,29.1,76.5,6.71,86.3,Kharif,Sandy,cotton
23.8,55.9,16.2,29.9,54.4,6.3,82.4,Kharif,Sandy,mungbean
116.8,60.5,49.9,25.1,77.7,6.28,218.4,Kharif,Loamy,rice
33.6,29.7,30.3,18.5,54.5,7.01,31.3,Rabi,Loamy,linseed
66.8,30.3,30.4,33.8,33.7,6.63,51.0,Kharif,Sandy,pearl_millet
93.9,56.5,43.4,18.3,92.4,5.57,208.2,Kharif,Loamy,tea
25.7,46.6,36.3,29.4,40.5,7.51,95.0,Rabi,Sandy,chickpea
123.4,62.3,124.5,26.4,82.4,5.94,134.3,Kharif,Loamy,turmeric
28.7,36.1,31.0,24.2,74.7,5.53,105.7,Kharif,Sandy,finger_millet
22.5,50.4,28.3,29.4,53.7,6.29,41.4,Kharif,Loamy,mungbean
25.6,64.6,49.2,30.6,65.5,6.27,97.5,Kharif,Loamy,soybean
27.1,53.1,28.1,35.8,73.1,7.04,70.2,Kharif,Loamy,cowpea
79.5,79.7,75.1,27.3,63.4,6.64,74.8,Kharif,Loamy,tomato
98.4,50.2,97.0,25.3,49.1,5.95,49.0,Zaid,Sandy,mango
79.0,61.4,162.7,26.9,84.8,4.42,216.2,Kharif,Loamy,ginger
94.9,55.2,75.2,31.5,64.0,6.79,88.3,Zaid,Sandy,mango
35.7,23.4,43.8,7.2,48.5,5.98,35.7,Rabi,Loamy,linseed
75.3,59.1,31.9,21.6,87.2,6.66,352.9,Kharif,Clayey,rice
105.6,40.6,38.7,21.7,86.3,6.53,265.8,Kharif,Loamy,rice
114.4,30.4,36.4,21.4,82.3,5.89,386.3,Kharif,Loamy,tea
117.4,65.6,123.6,25.5,73.5,6.16,128.8,Kharif,Sandy,turmeric
107.2,90.7,118.3,21.0,77.2,5.64,84.5,Rabi,Loamy,potato
94.9,44.9,26.7,19.9,86.2,6.98,176.5,Kharif,Clayey,rice
7.5,24.6,18.8,16.2,56.2,6.62,1.2,Rabi,Loamy,lentil
120.2,46.3,98.5,22.8,77.6,5.63,256.6,Kharif,Loamy,coffee
47.0,38.7,19.3,29.7,53.3,6.45,40.5,Kharif,Loamy,sesame
87.2,63.1,51.1,25.4,82.4,6.84,198.5,Rabi,Sandy,wheat
20.8,75.6,55.8,20.8,68.0,5.94,111.3,Kharif,Loamy,kidneybeans
91.0,44.2,74.5,32.9,65.4,6.19,47.8,Zaid,Loamy,pomegranate
92.4,49.3,34.6,23.4,53.2,6.55,51.2,Rabi,Sandy,mustard
31.2,17.9,35.4,20.8,64.3,6.8,36.8,Rabi,Loamy,linseed
86.7,43.1,34.9,22.5,86.8,5.95,255.0,Kharif,Loamy,rice
99.2,44.7,88.3,26.8,82.6,5.63,174.6,Kharif,Loamy,coffee
51.8,21.4,27.9,33.4,53.5,6.33,41.6,Kharif,Sandy,pearl_millet
69.0,53.1,43.0,22.1,77.2,6.43,202.9,Rabi,Sandy,wheat
19.1,63.8,50.4,30.8,59.2,6.68,72.0,Kharif,Clayey,soybean
95.5,44.7,44.2,23.6,86.4,7.2,152.5,Rabi,Loamy,wheat
14.0,62.7,56.2,25.8,65.0,6.07,157.3,Kharif,Loamy,pigeonpeas
59.6,38.5,49.5,24.0,55.3,6.65,53.2,Rabi,Sandy,garlic
26.8,63.4,43.5,19.5,64.1,6.39,115.6,Kharif,Loamy,soybean
118.3,58.4,114.6,29.6,85.0,6.82,178.6,Kharif,Loamy,sugarcane
107.0,58.3,102.4,24.0,80.3,5.96,205.7,Kharif,Loamy,coffee
85.1,54.3,93.2,27.6,85.3,5.53,190.3,Kharif,Loamy,pepper
71.0,31.5,70.0,22.5,52.6,6.52,156.3,Zaid,Sandy,orange
75.2,51.4,135.5,25.7,76.5,6.08,196.7,Kharif,Loamy,ginger
114.1,66.3,142.8,14.7,71.6,5.8,48.0,Rabi,Sandy,potato
82.9,60.7,44.3,25.6,51.3,6.18,104.4,Kharif,Loamy,maize
20.8,42.0,18.7,30.7,61.9,6.5,47.3,Kharif,Loamy,blackgram
52.9,31.9,26.5,25.1,79.7,5.72,103.1,Kharif,Sandy,finger_millet
102.4,45.6,109.1,30.4,70.2,5.03,58.7,Rabi,Sandy,tobacco
65.3,51.3,92.0,28.6,72.7,5.66,101.3,Rabi,Loamy,tobacco
26.8,59.1,41.6,31.8,64.5,6.04,55.3,Kharif,Loamy,cowpea
57.6,40.0,26.0,24.3,63.0,6.88,33.5,Rabi,Sandy,mustard
11.9,50.9,42.7,30.1,60.3,5.94,107.8,Kharif,Sandy,pigeonpeas
126.8,68.5,127.7,14.6,80.0,5.6,73.1,Rabi,Loamy,potato
87.8,45.4,60.1,31.3,60.1,6.26,48.9,Zaid,Sandy,watermelon
48.0,32.9,58.9,29.8,50.5,6.8,65.8,Rabi,Sandy,grapes
59.5,67.6,36.8,21.8,70.6,7.13,124.6,Rabi,Loamy,wheat
54.8,31.9,27.7,34.6,55.7,7.05,63.9,Kharif,Sandy,pearl_millet
120.5,67.8,137.7,30.8,87.6,6.42,200.6,Kharif,Loamy,sugarcane
46.1,41.8,68.8,15.4,59.4,6.09,120.4,Rabi,Loamy,apple
52.9,26.7,34.2,37.1,35.7,7.47,54.2,Kharif,Sandy,pearl_millet
66.3,36.8,51.5,23.5,53.8,5.81,27.6,Rabi,Sandy,garlic
23.7,46.0,49.3,31.0,61.8,7.05,117.7,Kharif,Clayey,soybean
38.2,28.0,64.3,26.0,54.0,6.83,77.4,Rabi,Sandy,grapes
64.2,39.1,54.4,18.8,61.7,6.28,58.4,Rabi,Loamy,garlic
16.7,39.8,23.8,29.3,71.8,6.47,62.9,Kharif,Loamy,blackgram
84.3,36.3,52.1,32.5,69.1,6.13,53.0,Zaid,Sandy,watermelon
93.8,46.4,211.3,27.5,64.6,7.26,191.5,Kharif,Sandy,coconut
24.1,54.0,21.3,26.8,51.3,5.97,73.6,Kharif,Sandy,mothbeans
98.4,42.4,57.2,26.5,82.0,4.42,261.8,Kharif,Loamy,rubber
101.7,52.6,66.2,28.5,64.7,6.22,79.0,Zaid,Loamy,guava
22.1,52.3,21.3,31.3,61.2,6.36,87.9,Kharif,Sandy,mungbean
52.3,34.2,44.1,31.3,45.5,7.08,61.3,Kharif,Sandy,pearl_millet
51.6,30.7,25.5,25.6,63.6,6.02,50.5,Kharif,Sandy,finger_millet
23.3,54.5,50.6,15.9,69.1,7.01,63.4,Rabi,Loamy,peas
151.3,74.7,105.1,17.0,77.9,6.61,86.5,Rabi,Loamy,potato
200.0,173.9,210.3,27.5,61.6,6.16,44.1,Zaid,Loamy,papaya
22.2,53.7,47.8,28.6,59.8,5.87,102.3,Kharif,Clayey,soybean
80.0,34.4,44.7,33.3,54.0,6.23,68.3,Zaid,Sandy,watermelon
95.5,34.1,87.2,29.7,67.8,6.33,118.7,Zaid,Sandy,orange
23.1,50.2,32.4,22.7,49.2,7.35,46.4,Rabi,Sandy,chickpea
136.7,46.9,124.5,24.6,76.0,5.69,161.4,Kharif,Sandy,turmeric
73.1,35.4,65.2,17.4,71.2,6.12,95.9,Rabi,Sandy,apple
51.1,47.9,49.6,18.4,71.0,5.76,35.2,Rabi,Loamy,garlic
73.0,43.1,46.1,26.0,83.1,6.64,106.5,Kharif,Loamy,jute
79.4,54.3,64.5,22.2,67.3,6.09,66.4,Rabi,Sandy,onion
99.2,34.4,49.8,20.8,47.1,6.79,69.7,Rabi,Sandy,mustard
18.2,43.2,21.7,32.4,55.9,6.6,32.7,Kharif,Loamy,blackgram
151.5,200.0,193.4,33.5,71.0,6.32,106.3,Zaid,Sandy,papaya
20.7,49.9,25.9,28.1,46.1,6.58,58.0,Kharif,Loamy,mungbean
18.2,64.5,15.6,26.6,47.1,6.05,52.3,Kharif,Sandy,mothbeans
92.0,62.7,67.1,26.0,72.6,6.66,47.4,Zaid,Sandy,mango
98.2,53.2,47.1,35.2,84.7,6.83,36.2,Kharif,Clayey,cotton
7.6,21.8,11.1,20.0,63.8,6.27,51.8,Rabi,Loamy,lentil
106.8,53.3,81.2,20.7,73.9,6.69,112.9,Zaid,Sandy,guava
20.8,41.4,27.2,31.8,49.3,6.03,38.9,Kharif,Loamy,mungbean
113.4,44.9,51.6,29.7,75.9,5.26,70.7,Kharif,Loamy,maize
16.8,77.7,17.7,30.1,41.0,7.71,45.1,Kharif,Sandy,mothbeans
22.2,32.5,24.7,26.3,59.0,7.17,48.4,Kharif,Loamy,blackgram
60.8,40.4,55.6,33.3,64.4,6.8,56.7,Kharif,Loamy,cotton
182.8,79.4,210.7,23.8,82.1,6.73,282.2,Kharif,Loamy,banana
112.4,51.2,158.0,27.1,69.5,5.8,183.1,Kharif,Loamy,ginger
19.2,43.5,25.4,29.2,60.9,5.5,69.6,Kharif,Loamy,mungbean
98.2,57.4,135.9,27.1,83.9,5.19,194.2,Kharif,Loamy,ginger
35.9,34.7,30.8,25.4,68.3,6.04,69.1,Kharif,Sandy,finger_millet
117.4,45.9,90.8,29.6,51.2,6.15,97.0,Zaid,Sandy,mango
89.7,32.8,33.6,23.4,67.9,6.75,177.9,Rabi,Loamy,wheat
26.1,52.7,20.5,26.8,40.3,7.36,53.8,Kharif,Sandy,mothbeans
200.0,169.7,213.0,22.8,49.3,6.34,109.0,Zaid,Loamy,papaya
127.2,37.0,35.7,30.2,67.8,7.93,87.5,Kharif,Clayey,cotton
120.2,47.7,65.9,26.6,76.6,3.96,361.7,Kharif,Loamy,rubber
81.9,66.5,41.3,21.8,85.7,6.29,128.8,Rabi,Sandy,wheat
48.3,33.1,34.0,26.8,60.6,7.16,62.6,Kharif,Loamy,sorghum
11.4,21.5,17.8,27.0,61.0,6.58,43.9,Rabi,Sandy,lentil
54.7,48.1,39.1,31.2,50.6,6.69,52.4,Kharif,Loamy,castor
89.5,59.1,60.5,29.6,62.8,6.34,56.1,Kharif,Loamy,sunflower
114.3,33.4,40.8,28.2,54.4,6.87,89.1,Kharif,Clayey,cotton
44.5,33.6,37.1,17.8,64.7,6.33,83.7,Rabi,Sandy,barley
91.3,68.4,91.6,26.7,64.8,7.18,60.7,Kharif,Loamy,tomato
17.0,51.9,37.5,28.1,64.5,6.25,132.6,Kharif,Sandy,pigeonpeas
46.1,33.5,31.4,20.7,75.8,5.66,90.9,Kharif,Loamy,finger_millet
73.8,47.7,56.8,24.0,89.1,6.78,158.3,Kharif,Clayey,rice
41.4,27.9,25.1,10.2,48.3,6.52,92.9,Rabi,Sandy,barley
28.0,32.9,27.5,23.4,58.8,6.82,28.1,Rabi,Clayey,linseed
102.3,35.0,45.8,26.6,54.6,7.27,70.4,Kharif,Sandy,cotton
20.2,54.4,21.9,30.1,47.4,6.63,59.7,Kharif,Loamy,mungbean
29.8,70.8,60.7,21.8,70.2,5.85,120.6,Kharif,Loamy,kidneybeans
92.6,86.4,79.4,23.7,97.2,6.9,46.4,Kharif,Sandy,tomato
93.8,49.7,83.8,24.0,82.8,6.19,187.9,Kharif,Loamy,coffee
52.5,45.2,47.7,23.6,62.3,5.75,37.0,Rabi,Loamy,garlic
18.9,50.6,81.2,32.6,64.6,6.39,79.9,Kharif,Loamy,groundnut
